Time,Y,Y_type,CL,Drug,ConcInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL2,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL2,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.27791,IL2,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1.52683433333333,IL2,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL2,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL2,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2.21137766666667,IL2,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,21.2541123333333,IL2,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL2,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL2,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.58906566666667,IL2,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1.02898533333333,IL2,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL2,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL2,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.360885,IL2,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1.25716633333333,IL2,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8.31081333333333,IL2,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,68.99023,IL2,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,39.9442033333333,IL2,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2.605508,IL2,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10.2538046666667,IL2,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
