DRUG,DOSE,ID,OBS,TIME,TIME_UNIT,EVID,CENS,AMT,TINF,WT,UNIT,YTYPE,YNAME,MDV,STUDY,SPECIES,SEX
Docetaxel,15,5109,.,0,hours,1,0,3.075,0.017083333,0.205,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5110,.,0,hours,1,0,3.18,0.017666667,0.212,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5111,.,0,hours,1,0,2.9025,0.016125,0.1935,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5112,.,0,hours,1,0,3.1425,0.017458333,0.2095,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5113,.,0,hours,1,0,3.189,0.017716667,0.2126,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5114,.,0,hours,1,0,3.0585,0.016991667,0.2039,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5115,.,0,hours,1,0,3.285,0.01825,0.219,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5116,.,0,hours,1,0,3.282,0.018233333,0.2188,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5117,.,0,hours,1,0,3.2475,0.018041667,0.2165,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5118,.,0,hours,1,0,2.928,0.016266667,0.1952,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5119,.,0,hours,1,0,3.186,0.0177,0.2124,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5120,.,0,hours,1,0,3.1215,0.017341667,0.2081,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5121,.,0,hours,1,0,0.9375,0.015625,0.1875,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5122,.,0,hours,1,0,1.031,0.017183333,0.2062,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5123,.,0,hours,1,0,0.9575,0.015958333,0.1915,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5124,.,0,hours,1,0,0.9965,0.016608333,0.1993,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5125,.,0,hours,1,0,0.9575,0.015958333,0.1915,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5126,.,0,hours,1,0,0.9365,0.015608333,0.1873,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5127,.,0,hours,1,0,1.0625,0.017708333,0.2125,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5128,.,0,hours,1,0,0.9725,0.016208333,0.1945,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5129,.,0,hours,1,0,0.919,0.015316667,0.1838,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5130,.,0,hours,1,0,0.956,0.015933333,0.1912,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5131,.,0,hours,1,0,1.0375,0.017291667,0.2075,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5132,.,0,hours,1,0,0.9745,0.016241667,0.1949,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5133,.,0,hours,1,0,1.951,0.016258333,0.1951,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5134,.,0,hours,1,0,2.065,0.017208333,0.2065,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5135,.,0,hours,1,0,1.865,0.015541667,0.1865,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5136,.,0,hours,1,0,1.842,0.01535,0.1842,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5137,.,0,hours,1,0,2.002,0.016683333,0.2002,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5138,.,0,hours,1,0,1.856,0.015466667,0.1856,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5139,.,0,hours,1,0,1.942,0.016183333,0.1942,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5140,.,0,hours,1,0,2.04,0.017,0.204,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5141,.,0,hours,1,0,2.104,0.017533333,0.2104,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5142,.,0,hours,1,0,1.989,0.016575,0.1989,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5143,.,0,hours,1,0,1.977,0.016475,0.1977,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5144,.,0,hours,1,0,1.949,0.016241667,0.1949,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5335,.,0,hours,1,0,1,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5335,320.827,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5335,19.586,1.167,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5335,13.028,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5335,12.074,4.25,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5335,12.356,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5335,10.478,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5336,.,0,hours,1,0,1,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5336,288.934,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5336,17.694,1.167,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5336,11.292,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5336,8.985,4.25,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5336,11.657,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5336,6.062,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5337,.,0,hours,1,0,1,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5337,366.545,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5337,20.704,1.167,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5337,13.001,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5337,8.802,4.25,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5337,17.931,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5337,9.496,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5338,.,0,hours,1,0,1,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5338,328.617,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5338,24.121,1.167,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5338,15.784,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5338,9.524,4.25,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5338,14.849,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
